Date,Open_t-2,High_t-2,Low_t-2,Close_t-2,Volume_t-2,Open_t-1,High_t-1,Low_t-1,Close_t-1,Volume_t-1,Close_t
2020-01-06,4400.0,4410.0,4360.0,4410.0,41710000.0,4420.0,4440.0,4390.0,4420.0,82900000.0,4370
2020-01-07,4420.0,4440.0,4390.0,4420.0,82900000.0,4360.0,4390.0,4320.0,4370.0,44230000.0,4400
2020-01-08,4360.0,4390.0,4320.0,4370.0,44230000.0,4410.0,4410.0,4380.0,4400.0,103950000.0,4380
2020-01-09,4410.0,4410.0,4380.0,4400.0,103950000.0,4380.0,4400.0,4340.0,4380.0,171750000.0,4400
2020-01-10,4380.0,4400.0,4340.0,4380.0,171750000.0,4400.0,4420.0,4370.0,4400.0,72070000.0,4410
2020-01-13,4400.0,4420.0,4370.0,4400.0,72070000.0,4430.0,4430.0,4390.0,4410.0,124810000.0,4510
2020-01-14,4430.0,4430.0,4390.0,4410.0,124810000.0,4430.0,4510.0,4420.0,4510.0,111350000.0,4570
2020-01-15,4430.0,4510.0,4420.0,4510.0,111350000.0,4540.0,4600.0,4520.0,4570.0,158410000.0,4580
2020-01-16,4540.0,4600.0,4520.0,4570.0,158410000.0,4570.0,4580.0,4530.0,4580.0,102570000.0,4570
2020-01-17,4570.0,4580.0,4530.0,4580.0,102570000.0,4570.0,4590.0,4510.0,4570.0,133990000.00000001,4630
2020-01-20,4570.0,4590.0,4510.0,4570.0,133990000.00000001,4620.0,4640.0,4600.0,4630.0,121180000.0,4660
2020-01-21,4620.0,4640.0,4600.0,4630.0,121180000.0,4690.0,4690.0,4630.0,4660.0,81840000.0,4670
2020-01-22,4690.0,4690.0,4630.0,4660.0,81840000.0,4670.0,4680.0,4640.0,4670.0,73840000.0,4710
2020-01-23,4670.0,4680.0,4640.0,4670.0,73840000.0,4680.0,4710.0,4670.0,4710.0,82370000.0,4740
2020-01-24,4680.0,4710.0,4670.0,4710.0,82370000.0,4720.0,4760.0,4690.0,4740.0,139860000.0,4740
2020-01-27,4720.0,4760.0,4690.0,4740.0,139860000.0,4730.0,4750.0,4680.0,4740.0,96020000.0,4650
2020-01-28,4730.0,4750.0,4680.0,4740.0,96020000.0,4700.0,4700.0,4640.0,4650.0,93700000.0,4620
2020-01-29,4700.0,4700.0,4640.0,4650.0,93700000.0,4580.0,4640.0,4570.0,4620.0,95390000.0,4620
2020-01-30,4580.0,4640.0,4570.0,4620.0,95390000.0,4620.0,4660.0,4600.0,4620.0,194870000.0,4580
2020-01-31,4620.0,4660.0,4600.0,4620.0,194870000.0,4700.0,4700.0,4580.0,4580.0,87730000.0,4460
2020-02-03,4700.0,4700.0,4580.0,4580.0,87730000.0,4570.0,4580.0,4460.0,4460.0,137060000.0,4460
2020-02-04,4570.0,4580.0,4460.0,4460.0,137060000.0,4460.0,4490.0,4450.0,4460.0,131580000.00000001,4560
2020-02-05,4460.0,4490.0,4450.0,4460.0,131580000.00000001,4690.0,4690.0,4520.0,4560.0,112380000.0,4560
2020-02-06,4690.0,4690.0,4520.0,4560.0,112380000.0,4570.0,4580.0,4510.0,4560.0,91270000.0,4550
2020-02-07,4570.0,4580.0,4510.0,4560.0,91270000.0,4590.0,4590.0,4530.0,4550.0,94860000.0,4550
2020-02-10,4590.0,4590.0,4530.0,4550.0,94860000.0,4580.0,4580.0,4540.0,4550.0,133039999.99999999,4500
2020-02-11,4580.0,4580.0,4540.0,4550.0,133039999.99999999,4500.0,4530.0,4400.0,4500.0,170890000.0,4510
2020-02-12,4500.0,4530.0,4400.0,4500.0,170890000.0,4540.0,4540.0,4480.0,4510.0,85150000.0,4530
2020-02-13,4540.0,4540.0,4480.0,4510.0,85150000.0,4520.0,4560.0,4520.0,4530.0,130150000.0,4570
2020-02-14,4520.0,4560.0,4520.0,4530.0,130150000.0,4580.0,4590.0,4540.0,4570.0,79710000.0,4550
2020-02-17,4580.0,4590.0,4540.0,4570.0,79710000.0,4530.0,4590.0,4530.0,4550.0,127000000.0,4470
2020-02-18,4530.0,4590.0,4530.0,4550.0,127000000.0,4480.0,4540.0,4470.0,4470.0,119760000.0,4400
2020-02-19,4480.0,4540.0,4470.0,4470.0,119760000.0,4470.0,4500.0,4400.0,4400.0,88690000.0,4480
2020-02-20,4470.0,4500.0,4400.0,4400.0,88690000.0,4460.0,4480.0,4450.0,4480.0,100810000.0,4560
2020-02-21,4460.0,4480.0,4450.0,4480.0,100810000.0,4520.0,4580.0,4510.0,4560.0,98180000.0,4510
2020-02-24,4520.0,4580.0,4510.0,4560.0,98180000.0,4560.0,4560.0,4510.0,4510.0,106960000.0,4490
2020-02-25,4560.0,4560.0,4510.0,4510.0,106960000.0,4540.0,4540.0,4470.0,4490.0,102910000.0,4500
2020-02-26,4540.0,4540.0,4470.0,4490.0,102910000.0,4460.0,4550.0,4460.0,4500.0,113930000.0,4480
2020-02-27,4460.0,4550.0,4460.0,4500.0,113930000.0,4500.0,4510.0,4470.0,4480.0,149200000.0,4130
2020-02-28,4500.0,4510.0,4470.0,4480.0,149200000.0,4380.0,4380.0,4120.0,4130.0,207160000.0,4190
2020-03-02,4380.0,4380.0,4120.0,4130.0,207160000.0,3990.0,4190.0,3910.0,4190.0,191960000.0,3980
2020-03-03,3990.0,4190.0,3910.0,4190.0,191960000.0,4190.0,4200.0,3980.0,3980.0,187660000.0,4100
2020-03-04,4190.0,4200.0,3980.0,3980.0,187660000.0,4050.0,4180.0,4000.0,4100.0,198410000.0,4220
2020-03-05,4050.0,4180.0,4000.0,4100.0,198410000.0,4140.0,4240.0,4130.0,4220.0,116310000.0,4150
2020-03-06,4140.0,4240.0,4130.0,4220.0,116310000.0,4290.0,4300.0,4130.0,4150.0,133590000.0,4010
2020-03-09,4290.0,4300.0,4130.0,4150.0,133590000.0,4040.0,4050.0,4000.0,4010.0,159390000.0,3750
2020-03-10,4040.0,4050.0,4000.0,4010.0,159390000.0,3900.0,3950.0,3750.0,3750.0,149030000.0,3910
2020-03-11,3900.0,3950.0,3750.0,3750.0,149030000.0,3780.0,4030.0,3780.0,3910.0,165980000.0,3910
2020-03-12,3780.0,4030.0,3780.0,3910.0,165980000.0,3950.0,4030.0,3880.0,3910.0,177520000.0,3610
2020-03-13,3950.0,4030.0,3880.0,3910.0,177520000.0,3820.0,3840.0,3600.0,3610.0,151940000.0,3720
2020-03-16,3820.0,3840.0,3600.0,3610.0,151940000.0,3610.0,3770.0,3360.0,3720.0,268840000.0,3500
2020-03-17,3610.0,3770.0,3360.0,3720.0,268840000.0,3750.0,3750.0,3460.0,3500.0,178420000.0,3260
2020-03-18,3750.0,3750.0,3460.0,3500.0,178420000.0,3500.0,3570.0,3260.0,3260.0,208570000.0,3140
2020-03-19,3500.0,3570.0,3260.0,3260.0,208570000.0,3270.0,3440.0,3090.0,3140.0,248100000.0,2930
2020-03-20,3270.0,3440.0,3090.0,3140.0,248100000.0,3130.0,3140.0,2930.0,2930.0,137950000.0,2810
2020-03-23,3130.0,3140.0,2930.0,2930.0,137950000.0,2930.0,2970.0,2730.0,2810.0,598360000.0,2620
2020-03-24,2930.0,2970.0,2730.0,2810.0,598360000.0,2650.0,2700.0,2620.0,2620.0,164400000.0,2440
2020-03-26,2650.0,2700.0,2620.0,2620.0,164400000.0,2580.0,2750.0,2440.0,2440.0,495130000.0,2940
2020-03-27,2580.0,2750.0,2440.0,2440.0,495130000.0,2500.0,3000.0,2500.0,2940.0,634590000.0,3230
2020-03-30,2500.0,3000.0,2500.0,2940.0,634590000.0,3000.0,3670.0,3000.0,3230.0,480930000.0,3010
2020-03-31,3000.0,3670.0,3000.0,3230.0,480930000.0,3150.0,3150.0,3010.0,3010.0,217510000.0,3020
